Games name,Platforms,Reviewers,,Positive percent,Comment,Released,Price,Discount,Discounted price,Type,URL,All_tags
Labyrinth of Galleria: The Moon Society,Win,261,261,87,Very Positive,"14 Feb, 2023","49,99€",0,"49,99€",RPG,https://store.steampowered.com/app/1998340/Labyrinth_of_Galleria_The_Moon_Society/?snr=1_7_7_240_150_13,"RPG, Strategy, Adventure"
Gary Grigsby's War in the East 2,Win,145,145,89,Very Positive,"10 Dec, 2021","77,99€",0,"77,99€",Simulation,https://store.steampowered.com/app/1775550/Gary_Grigsbys_War_in_the_East_2/?snr=1_7_7_240_150_13,"Simulation, Strategy, Wargame"
Kingdom Eighties,"Win, Mac, Linux",1545,1545,72,Mostly Positive,"26 Jun, 2023","11,79€",0,"11,79€",Tower Defense,https://store.steampowered.com/app/1956040/Kingdom_Eighties/?snr=1_7_7_240_150_13,"Tower Defense, Base Building, Colony Sim"
Talisman - The Dungeon Expansion,"Win, Mac",31,31,87,Positive,"23 Oct, 2014","3,99€",0,"3,99€",Strategy,https://store.steampowered.com/app/267775/Talisman__The_Dungeon_Expansion/?snr=1_7_7_240_150_13,"Strategy, RPG, Indie"
Civilization V - Civ and Scenario Pack: Denmark (The Vikings),"Win, Mac, Linux",80,80,86,Very Positive,"3 May, 2011","3,49€",0,"3,49€",Strategy,https://store.steampowered.com/app/99611/Civilization_V__Civ_and_Scenario_Pack_Denmark_The_Vikings/?snr=1_7_7_240_150_13,"Strategy, Vikings"
The Iron Oath,"Win, Mac",434,434,81,Very Positive,"19 Apr, 2022","19,99€",0,"19,99€",RPG,https://store.steampowered.com/app/699330/The_Iron_Oath/?snr=1_7_7_240_150_13,"RPG, Turn-Based Combat, Tactical RPG"
Hell Let Loose - False Front,Win,97,97,96,Very Positive,"7 Dec, 2021","4,99€",0,"4,99€",Simulation,https://store.steampowered.com/app/1793010/Hell_Let_Loose__False_Front/?snr=1_7_7_240_150_13,"Simulation, Strategy, Action"
Kingdom: New Lands,"Win, Mac, Linux",8326,8326,87,Very Positive,"9 Aug, 2016","14,99€",0,"14,99€",Side Scroller,https://store.steampowered.com/app/496300/Kingdom_New_Lands/?snr=1_7_7_240_150_13,"Side Scroller, Exploration, Colony Sim"
Talisman - The Ancient Beasts Expansion,"Win, Mac",22,0,0,None,"16 May, 2019","3,99€",0,"3,99€",Strategy,https://store.steampowered.com/app/1059290/Talisman__The_Ancient_Beasts_Expansion/?snr=1_7_7_240_150_13,"Strategy, RPG, Indie"
Arma 3 Creator DLC: CSLA Iron Curtain,"Win, Mac",742,0,0,None,"16 Jun, 2021","12,99€",None,0,Simulation,https://store.steampowered.com/app/1294440/Arma_3_Creator_DLC_CSLA_Iron_Curtain/?snr=1_7_7_240_150_13,"Simulation, Action, Strategy"
VAIL VR,Win,752,752,74,Mostly Positive,"16 Nov, 2022","19,50€",0,"19,50€",Early Access,https://store.steampowered.com/app/801550/VAIL_VR/?snr=1_7_7_240_150_13,"Early Access, VR, Shooter"
Riichi City - Japanese Mahjong Online,"Win, Mac, Linux",1058,0,0,None,"8 Sep, 2022",0,None,0,Casual,https://store.steampowered.com/app/1954420/Riichi_City__Japanese_Mahjong_Online/?snr=1_7_7_240_150_13,"Casual, Thriller, Psychological Horror"
"Warhammer 40,000: Gladius - Chaos Space Marines","Win, Linux",69,69,84,Very Positive,"18 Jul, 2019","14,79€",0,"14,79€",Strategy,https://store.steampowered.com/app/1084820/Warhammer_40000_Gladius__Chaos_Space_Marines/?snr=1_7_7_240_150_13,"Strategy, Warhammer 40K"
Talisman - The Woodland Expansion,"Win, Mac",18,18,77,Mostly Positive,"11 Jun, 2018","3,99€",0,"3,99€",Strategy,https://store.steampowered.com/app/773600/Talisman__The_Woodland_Expansion/?snr=1_7_7_240_150_13,"Strategy, RPG, Indie"
Space Engineers - Frostbite,Win,233,0,0,None,"19 Mar, 2020","3,99€",0,"3,99€",Action,https://store.steampowered.com/app/1241550/Space_Engineers__Frostbite/?snr=1_7_7_240_150_13,"Action, Simulation, Strategy"
Idol Manager,"Win, Mac, Linux",3116,3116,87,Very Positive,"26 Jul, 2021","16,79€",0,"16,79€",Management,https://store.steampowered.com/app/821880/Idol_Manager/?snr=1_7_7_240_150_13,"Management, Simulation, Anime"
BATTLETECH Urban Warfare,"Win, Mac, Linux",138,0,0,None,"4 Jun, 2019","19,99€",0,"19,99€",Strategy,https://store.steampowered.com/app/1047180/BATTLETECH_Urban_Warfare/?snr=1_7_7_240_150_13,"Strategy, Action, Adventure"
Stolen Realm,"Win, Mac",1628,1628,89,Very Positive,"14 Oct, 2021","19,50€",0,"19,50€",Early Access,https://store.steampowered.com/app/1330000/Stolen_Realm/?snr=1_7_7_240_150_13,"Early Access, Turn-Based Tactics, Party-Based RPG"
Talisman - The Clockwork Kingdom Expansion,"Win, Mac",19,19,78,Mostly Positive,"29 Aug, 2019","3,99€",0,"3,99€",RPG,https://store.steampowered.com/app/1059291/Talisman__The_Clockwork_Kingdom_Expansion/?snr=1_7_7_240_150_13,"RPG, Indie, Strategy"
Talisman - The Realm of Souls Expansion,"Win, Mac",16,16,75,Mostly Positive,"7 Feb, 2019","3,99€",0,"3,99€",Strategy,https://store.steampowered.com/app/1003200/Talisman__The_Realm_of_Souls_Expansion/?snr=1_7_7_240_150_13,"Strategy, RPG, Indie"
SGS Winter War,"Win, Mac",42,42,88,Positive,"15 Jul, 2020","17,99€",0,"17,99€",World War II,https://store.steampowered.com/app/1180900/SGS_Winter_War/?snr=1_7_7_240_150_13,"World War II, Strategy, Simulation"
Startup Company,"Win, Mac, Linux",5441,5441,81,Very Positive,"10 Apr, 2020","12,99€",0,"12,99€",Management,https://store.steampowered.com/app/606800/Startup_Company/?snr=1_7_7_240_150_13,"Management, Simulation, Economy"
Six Ages: Ride Like the Wind,"Win, Mac",380,380,81,Very Positive,"17 Oct, 2019","19,50€",0,"19,50€",Choices Matter,https://store.steampowered.com/app/881420/Six_Ages_Ride_Like_the_Wind/?snr=1_7_7_240_150_13,"Choices Matter, Interactive Fiction, Simulation"
Civilization V - Babylon (Nebuchadnezzar II),"Win, Mac, Linux",100,100,88,Very Positive,"25 Oct, 2010","3,49€",0,"3,49€",Strategy,https://store.steampowered.com/app/16868/Civilization_V__Babylon_Nebuchadnezzar_II/?snr=1_7_7_240_150_13,Strategy
Arma 3 Soundtrack,Music,47,47,82,Positive,"1 Feb, 2020","8,99€",None,0,Strategy,https://store.steampowered.com/app/249860/Arma_3_Soundtrack/?snr=1_7_7_240_150_13,"Strategy, Action, Simulation"
Emily Wants to Play Too,"Win, Mac, Linux",375,375,84,Very Positive,"13 Dec, 2017","7,79€",None,0,Horror,https://store.steampowered.com/app/652190/Emily_Wants_to_Play_Too/?snr=1_7_7_240_150_13,"Horror, Indie, Action"
Civilization V - Civ and Scenario Pack: Polynesia,"Win, Mac, Linux",84,84,82,Very Positive,"3 Mar, 2011","3,49€",0,"3,49€",Strategy,https://store.steampowered.com/app/99610/Civilization_V__Civ_and_Scenario_Pack_Polynesia/?snr=1_7_7_240_150_13,Strategy
