,Title,Platforms,Multiplatform,Reviews,Players,Positives,Review_summary,Released,Day_since_release,Price,Discount,On_sale,Final_price,Main_tag,Url,All_tags
4369,Freeman: Guerrilla Warfare,Win,0,10736.0,10736,71,Mostly Positive,"4 Oct, 2019",1455,"20,99€",0.0,0,"20,99€",Strategy,https://store.steampowered.com/app/773951/Freeman_Guerrilla_Warfare/?snr=1_7_7_240_150_47,"Strategy, Action, Shooter"
4370,Hack RUN,Win,0,155.0,155,83,Very Positive,"17 Jun, 2015",3025,"2,39€",0.0,0,"2,39€",Simulation,https://store.steampowered.com/app/378110/Hack_RUN/?snr=1_7_7_240_150_47,"Simulation, Adventure, Strategy"
4371,You Must Build A Boat,"Win, Mac, Linux",1,766.0,766,81,Very Positive,"4 Jun, 2015",3038,"4,99€",0.0,0,"4,99€",Casual,https://store.steampowered.com/app/290890/You_Must_Build_A_Boat/?snr=1_7_7_240_150_47,"Casual, Match 3, Strategy"
4372,吞食天地2022,Win,0,397.0,397,90,Very Positive,"30 Sep, 2022",363,"16,79€",0.0,0,"16,79€",RPG,https://store.steampowered.com/app/2137630/2022/?snr=1_7_7_240_150_47,"RPG, Strategy, Turn-Based Strategy"
4373,Runestone Keeper,"Win, Mac",1,666.0,666,82,Very Positive,"2 Mar, 2015",3132,"8,19€",0.0,0,"8,19€",Strategy,https://store.steampowered.com/app/339400/Runestone_Keeper/?snr=1_7_7_240_150_47,"Strategy, RPG, Roguelike"
4374,Darknet,Win,0,59.0,59,88,Very Positive,"8 Jun, 2017",2303,"12,49€",0.0,0,"12,49€",Strategy,https://store.steampowered.com/app/401910/Darknet/?snr=1_7_7_240_150_47,"Strategy, Indie, VR"
4375,Oh! Edo Towns,Win,0,55.0,55,90,Very Positive,"4 Sep, 2022",389,"7,99€",0.0,0,"7,99€",Simulation,https://store.steampowered.com/app/2019370/Oh_Edo_Towns/?snr=1_7_7_240_150_47,"Simulation, Strategy, City Builder"
4376,Shift,Win,0,290.0,290,78,Mostly Positive,"16 Aug, 2016",2599,"0,99€",0.0,0,"0,99€",Indie,https://store.steampowered.com/app/485730/Shift/?snr=1_7_7_240_150_47,"Indie, Strategy, Puzzle"
4377,Battle Brothers - Support the Developers & Kraken Banner,Win,0,65.0,65,98,Very Positive,"29 Nov, 2018",1764,"10,00€",0.0,0,"10,00€",Strategy,https://store.steampowered.com/app/986090/Battle_Brothers__Support_the_Developers__Kraken_Banner/?snr=1_7_7_240_150_47,"Strategy, RPG, Indie"
4378,Romance of the Three Kingdoms V with Power Up Kit,Win,0,73.0,73,84,Very Positive,"18 Apr, 2017",2354,"19,99€",0.0,0,"19,99€",Turn-Based Tactics,https://store.steampowered.com/app/521750/Romance_of_the_Three_Kingdoms_V_with_Power_Up_Kit/?snr=1_7_7_240_150_47,"Turn-Based Tactics, Wargame, Immersive Sim"
4379,Ash of Gods: The Way,Win,0,253.0,253,88,Very Positive,"27 Apr, 2023",154,"24,50€",0.0,0,"24,50€",Choices Matter,https://store.steampowered.com/app/1293460/Ash_of_Gods_The_Way/?snr=1_7_7_240_150_47,"Choices Matter, Choose Your Own Adventure, Hand-drawn"
4380,The Goatman,Win,0,337.0,0,0,,"3 Sep, 2018",1851,"3,99€",0.0,0,"3,99€",Action,https://store.steampowered.com/app/844330/The_Goatman/?snr=1_7_7_240_150_47,"Action, Adventure, Horror"
4381,Zombie Defense,"Win, Mac, Linux",1,2029.0,2029,83,Very Positive,"30 Sep, 2016",2554,0,100.0,1,0,Free to Play,https://store.steampowered.com/app/533780/Zombie_Defense/?snr=1_7_7_240_150_47,"Free to Play, Zombies, Tower Defense"
4382,Photogenic Minds : Identity,Win,0,64.0,64,92,Very Positive,"29 Sep, 2022",364,"16,79€",0.0,0,"16,79€",Strategy,https://store.steampowered.com/app/2074910/Photogenic_Minds__Identity/?snr=1_7_7_240_150_47,"Strategy, Card Game, Roguelike"
4383,富甲天下4,Win,0,204.0,0,0,,"11 May, 2023",140,"9,75€",0.0,0,"9,75€",Casual,https://store.steampowered.com/app/2400280/4/?snr=1_7_7_240_150_47,"Casual, Strategy, Funny"
4384,Europa Universalis IV: Sabaton Soundtrack,"Win, Mac, Linux",1,233.0,233,93,Very Positive,"1 Dec, 2015",2858,"2,99€",0.0,0,"2,99€",Simulation,https://store.steampowered.com/app/415680/Europa_Universalis_IV_Sabaton_Soundtrack/?snr=1_7_7_240_150_47,"Simulation, Strategy, Grand Strategy"
4385,Fidget Spinner Editor,Win,0,43.0,43,86,Positive,"9 Oct, 2017",2180,"0,99€",0.0,0,"0,99€",Clicker,https://store.steampowered.com/app/715370/Fidget_Spinner_Editor/?snr=1_7_7_240_150_47,"Clicker, Idler, Sports"
4386,Picklock,"Win, Mac",1,315.0,315,86,Very Positive,"7 May, 2020",1239,"8,99€",0.0,0,"8,99€",Indie,https://store.steampowered.com/app/1243220/Picklock/?snr=1_7_7_240_150_47,"Indie, Strategy, Simulation"
4387,Cosa Nostra,Win,0,37.0,0,0,,"13 Nov, 2018",1780,"8,19€",0.0,0,"8,19€",Action,https://store.steampowered.com/app/954000/Cosa_Nostra/?snr=1_7_7_240_150_47,"Action, Indie, Gore"
4388,Final Theory,Win,0,336.0,336,81,Very Positive,"21 Sep, 2018",1833,"14,99€",0.0,0,"14,99€",Strategy,https://store.steampowered.com/app/894630/Final_Theory/?snr=1_7_7_240_150_47,"Strategy, Turn-Based, Spaceships"
4389,King's Bounty II - Lord's Edition Upgrade,Win,0,32.0,0,0,,"24 Aug, 2021",765,"5,99€",0.0,0,"5,99€",Strategy,https://store.steampowered.com/app/1640390/Kings_Bounty_II__Lords_Edition_Upgrade/?snr=1_7_7_240_150_47,"Strategy, RPG"
4390,Crookz - The Big Heist,"Win, Mac, Linux",1,201.0,201,85,Very Positive,"25 Aug, 2015",2956,"9,99€",0.0,0,"9,99€",Strategy,https://store.steampowered.com/app/310490/Crookz__The_Big_Heist/?snr=1_7_7_240_150_47,"Strategy, Simulation, Heist"
4391,YOU DON'T KNOW JACK Vol. 4 The Ride,Win,0,94.0,94,91,Very Positive,"5 Nov, 2013",3614,"2,99€",0.0,0,"2,99€",Trivia,https://store.steampowered.com/app/259980/YOU_DONT_KNOW_JACK_Vol_4_The_Ride/?snr=1_7_7_240_150_47,"Trivia, Casual, Indie"
4392,HOARD,"Win, Mac, Linux",1,496.0,496,85,Very Positive,"4 Apr, 2011",4560,"3,99€",0.0,0,"3,99€",Casual,https://store.steampowered.com/app/63000/HOARD/?snr=1_7_7_240_150_47,"Casual, Strategy, Dragons"
4393,This War of Mine: Stories - Father's Promise (ep.1),"Win, Mac, Linux",1,698.0,698,85,Very Positive,"14 Nov, 2017",2144,"1,99€",0.0,0,"1,99€",Indie,https://store.steampowered.com/app/750030/This_War_of_Mine_Stories__Fathers_Promise_ep1/?snr=1_7_7_240_150_47,"Indie, Adventure, Simulation"
4394,Warhammer Age of Sigmar: Storm Ground - Spoils of War Weapon Pack,Win,0,23.0,0,0,,"26 May, 2021",855,"2,99€",0.0,0,"2,99€",Strategy,https://store.steampowered.com/app/1405940/Warhammer_Age_of_Sigmar_Storm_Ground__Spoils_of_War_Weapon_Pack/?snr=1_7_7_240_150_47,Strategy
4395,Conquest: Frontier Wars,Win,0,11.0,11,100,Positive,"17 Jan, 2017",2445,"5,99€",0.0,0,"5,99€",Strategy,https://store.steampowered.com/app/578670/Conquest_Frontier_Wars/?snr=1_7_7_240_150_47,"Strategy, Real-Time, Singleplayer"
